Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_21 12:06:38.740;0;I;1220;808;2100;4;;75f8f03c;0.029415348544716835
23_02_21 12:06:38.873;0;I;1220;808;2100;4;;a004e83c;0.02832251787185669
23_02_21 12:06:39.001;0;I;1220;808;2100;4;;8645383c;0.011247044429183006
23_02_21 12:06:39.129;0;I;1220;808;2100;4;;346ec93b;0.006147170439362526
23_02_21 12:06:39.259;0;I;1220;808;2100;4;;6a35f33b;0.007422138936817646
23_02_21 12:06:39.390;0;I;1220;808;2100;4;;0862d23b;0.006420377641916275
23_02_21 12:06:39.520;0;I;1220;808;2100;4;;7849863b;0.004098113626241684
23_02_21 12:06:39.649;0;I;1220;808;2100;4;;66040a3c;0.008423900231719017
23_02_21 12:06:39.780;0;I;1220;808;2100;4;;d6d35c3c;0.013478239998221397
23_02_21 12:06:39.918;0;I;1220;808;2100;4;;9108363c;0.011110440827906132
23_02_21 12:06:40.041;0;I;1220;808;2100;4;;372be33c;0.027730567380785942
23_02_21 12:06:40.172;0;I;1220;808;2100;4;;b9cbe23c;0.027685033157467842
23_02_21 12:06:40.302;0;I;1220;808;2100;4;;abc7e53c;0.02804931066930294
23_02_21 12:06:40.432;0;I;1220;808;2100;4;;5f72f53c;0.029961762949824333
23_02_21 12:06:40.563;0;I;1220;808;2100;4;;a10401be;-0.1259942203760147
23_02_21 12:06:40.693;0;I;1220;808;2100;4;;23a500be;-0.1256299465894699
23_02_21 12:06:40.824;0;I;1220;808;2100;4;;e818593d;0.05300226807594299
23_02_21 12:06:40.954;0;I;1220;808;2100;4;;22e3f4bd;-0.11957384645938873
23_02_21 12:06:41.086;0;I;1220;808;2100;4;;e8b7dfbd;-0.10923749208450317
23_02_21 12:06:41.217;0;I;1220;808;2100;4;;e1d4673d;0.05659950152039528
23_02_21 12:06:41.348;0;I;1220;808;2100;4;;e1965a3d;0.05336654558777809
23_02_21 12:06:41.479;0;I;1220;808;2100;4;;d998413d;0.047264907509088516
23_02_21 12:06:41.611;0;I;1220;808;2100;4;;b50e493d;0.04908629134297371
23_02_21 12:06:41.742;0;I;1220;808;2100;4;;6dbc4a3d;0.04949610307812691
23_02_21 12:06:41.873;0;I;1220;808;2100;4;;b2cd493d;0.04926843196153641
23_02_21 12:06:42.004;0;I;1220;808;2100;4;;fda61f3c;0.009744402952492237
