Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:34:31.651;0;I;1008;808;2903;20;;c73d4b452a0f09c84cbd31464eba05420000ef41;3251.861083984375;-140348.65625;11375.32421875;33.43193817138672;29.875
23_03_21 11:34:31.751;0;I;1008;808;2903;20;;803b4b45610f09c810c431464eba05420000ef41;3251.71875;-140349.515625;11377.015625;33.43193817138672;29.875
23_03_21 11:34:31.852;0;I;1008;808;2903;20;;3a434b454e0f09c8acca31464eba05420000ef41;3252.20166015625;-140349.21875;11378.66796875;33.43193817138672;29.875
23_03_21 11:34:31.951;0;I;1008;808;2903;20;;d13a4b45310f09c8bbcd31464eba05420000ef41;3251.676025390625;-140348.765625;11379.4326171875;33.43193817138672;29.875
23_03_21 11:34:32.051;0;I;1008;808;2903;20;;562c4b457f0f09c87cc831464eba05420000ef41;3250.77099609375;-140349.984375;11378.12109375;33.43193817138672;29.875
23_03_21 11:34:32.150;0;I;1008;808;2903;20;;b2354b45540f09c8b5c631464eba05420000ef41;3251.35595703125;-140349.3125;11377.6767578125;33.43193817138672;29.875
23_03_21 11:34:32.250;0;I;1008;808;2903;20;;c2494b45220f09c828ca3146cc1f03420000ef41;3252.60986328125;-140348.53125;11378.5390625;32.78105163574219;29.875
23_03_21 11:34:32.351;0;I;1008;808;2903;20;;984a4b45490f09c89ac83146cc1f03420000ef41;3252.662109375;-140349.140625;11378.150390625;32.78105163574219;29.875
23_03_21 11:34:32.460;0;I;1008;808;2903;20;;f6474b456e0f09c86ec13146cc1f03420000ef41;3252.49755859375;-140349.71875;11376.357421875;32.78105163574219;29.875
23_03_21 11:34:32.556;0;I;1008;808;2903;20;;68554b45b70f09c853d23146cc1f03420000ef41;3253.337890625;-140350.859375;11380.5810546875;32.78105163574219;29.875
23_03_21 11:34:32.661;0;I;1008;808;2903;20;;89664b45c10f09c8f9d73146cc1f03420000ef41;3254.408447265625;-140351.015625;11381.9931640625;32.78105163574219;29.875
23_03_21 11:34:32.760;0;I;1008;808;2903;20;;4c6e4b450e1009c8c5e03146cc1f03420000ef41;3254.8935546875;-140352.21875;11384.1923828125;32.78105163574219;29.875
23_03_21 11:34:32.861;0;I;1008;808;2903;20;;ae6d4b450d1009c8fae03146cc1f03420000ef41;3254.85498046875;-140352.203125;11384.244140625;32.78105163574219;29.875
23_03_21 11:34:32.964;0;I;1008;808;2903;20;;2b654b45e00f09c89fd83146cc1f03420000ef41;3254.322998046875;-140351.5;11382.1552734375;32.78105163574219;29.875
23_03_21 11:34:33.062;0;I;1008;808;2903;20;;375e4b45fc0f09c802de3146cc1f03420000ef41;3253.888427734375;-140351.9375;11383.501953125;32.78105163574219;29.875
23_03_21 11:34:33.160;0;I;1008;808;2903;20;;7c5c4b45f60f09c86ce83146cc1f03420000ef41;3253.7802734375;-140351.84375;11386.10546875;32.78105163574219;29.875
23_03_21 11:34:33.260;0;I;1008;808;2903;20;;98564b45f20f09c8b9e331468f0707420000ef41;3253.412109375;-140351.78125;11384.9306640625;33.757381439208984;29.875
23_03_21 11:34:33.362;0;I;1008;808;2903;20;;c74d4b45e40f09c894f031468f0707420000ef41;3252.861083984375;-140351.5625;11388.14453125;33.757381439208984;29.875
23_03_21 11:34:33.467;0;I;1008;808;2903;20;;924a4b45d90f09c83d0332468f0707420000ef41;3252.66064453125;-140351.390625;11392.8095703125;33.757381439208984;29.875
23_03_21 11:34:33.567;0;I;1008;808;2903;20;;bf4a4b45f20f09c8351932468f0707420000ef41;3252.671630859375;-140351.78125;11398.3017578125;33.757381439208984;29.875
23_03_21 11:34:33.666;0;I;1008;808;2903;20;;ac584b45c60f09c84f3032468f0707420000ef41;3253.5419921875;-140351.09375;11404.0771484375;33.757381439208984;29.875
23_03_21 11:34:33.765;0;I;1008;808;2903;20;;43724b45db0f09c8eb2732468f0707420000ef41;3255.141357421875;-140351.421875;11401.9794921875;33.757381439208984;29.875
23_03_21 11:34:33.867;0;I;1008;808;2903;20;;03864b45031009c8810b32468f0707420000ef41;3256.375732421875;-140352.046875;11394.8759765625;33.757381439208984;29.875
23_03_21 11:34:33.973;0;I;1008;808;2903;20;;98844b452f1009c848fa31468f0707420000ef41;3256.287109375;-140352.734375;11390.5703125;33.757381439208984;29.875
23_03_21 11:34:34.070;0;I;1008;808;2903;20;;c47e4b453a1009c835e431468f0707420000ef41;3255.9228515625;-140352.90625;11385.0517578125;33.757381439208984;29.875
23_03_21 11:34:34.170;0;I;1008;808;2903;20;;ad7f4b452f1009c866d931468f0707420000ef41;3255.979736328125;-140352.734375;11382.349609375;33.757381439208984;29.875
23_03_21 11:34:34.270;0;I;1008;808;2903;20;;777e4b45e30f09c8a6ea31468bd201420000ef41;3255.904052734375;-140351.546875;11386.662109375;32.45560836791992;29.875
23_03_21 11:34:34.381;0;I;1008;808;2903;20;;296c4b45da0f09c80a0132468bd201420000ef41;3254.760009765625;-140351.40625;11392.259765625;32.45560836791992;29.875
23_03_21 11:34:34.477;0;I;1008;808;2903;20;;24664b45c00f09c8150c32468bd201420000ef41;3254.3837890625;-140351.0;11395.0205078125;32.45560836791992;29.875
23_03_21 11:34:34.575;0;I;1008;808;2903;20;;81624b45ca0f09c87a0532468bd201420000ef41;3254.156494140625;-140351.15625;11393.369140625;32.45560836791992;29.875
23_03_21 11:34:34.675;0;I;1008;808;2903;20;;de604b45ef0f09c8e50232468bd201420000ef41;3254.05419921875;-140351.734375;11392.7236328125;32.45560836791992;29.875
23_03_21 11:34:34.776;0;I;1008;808;2903;20;;40654b45eb0f09c8c21a32468bd201420000ef41;3254.328125;-140351.671875;11398.689453125;32.45560836791992;29.875
23_03_21 11:34:34.882;0;I;1008;808;2903;20;;b9744b45ef0f09c8582132468bd201420000ef41;3255.295166015625;-140351.734375;11400.3359375;32.45560836791992;29.875
23_03_21 11:34:34.983;0;I;1008;808;2903;20;;bc794b45ce0f09c8500e32468bd201420000ef41;3255.6083984375;-140351.21875;11395.578125;32.45560836791992;29.875
23_03_21 11:34:35.080;0;I;1008;808;2903;20;;617c4b45041009c8affa31468bd201420000ef41;3255.773681640625;-140352.0625;11390.6708984375;32.45560836791992;29.875
