Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:26:07.286;1135;I;1220;808;2100;4;;66fc3ebb;-0.002914214041084051
23_02_14 11:26:07.412;1139;I;1220;808;2100;4;;955100bc;-0.007831950671970844
23_02_14 11:26:07.543;1143;I;1220;808;2100;4;;e8e296bd;-0.07367497682571411
23_02_14 11:26:07.668;1147;I;1220;808;2100;4;;303595bc;-0.01821383833885193
23_02_14 11:26:07.796;1151;I;1220;808;2100;4;;132d9bba;-0.001183899468742311
23_02_14 11:26:07.934;1155;I;1220;808;2100;4;;dd55db3b;0.006693585310131311
23_02_14 11:26:08.052;1159;I;1220;808;2100;4;;71b7f13b;0.007376604247838259
23_02_14 11:26:08.226;1163;I;1220;808;2100;4;;864d833a;0.0010017610620707273
23_02_14 11:26:08.318;1167;I;1220;808;2100;4;;9cc3e8bb;-0.007103396579623222
23_02_14 11:26:08.442;1171;I;1220;808;2100;4;;62bb3fbc;-0.011702390387654305
23_02_14 11:26:08.567;1175;I;1220;808;2100;4;;6d8688bc;-0.016665661707520485
23_02_14 11:26:08.694;1179;I;1220;808;2100;4;;3b6ce2bc;-0.027639498934149742
23_02_14 11:26:08.835;1183;I;1220;808;2100;4;;cb18aabc;-0.02076377533376217
23_02_14 11:26:08.953;1187;I;1220;808;2100;4;;17e2e9bc;-0.02855019085109234
23_02_14 11:26:09.081;1191;I;1220;808;2100;4;;ce3e083e;0.13305208086967468
23_02_14 11:26:09.229;1195;I;1220;808;2100;4;;333807bd;-0.03301258012652397
23_02_14 11:26:09.362;1199;I;1220;808;2100;4;;507e0ebd;-0.034788429737091064
23_02_14 11:26:09.488;1203;I;1220;808;2100;4;;039a143e;0.14511875808238983
23_02_14 11:26:09.610;1207;I;1220;808;2100;4;;d29aa8bb;-0.005145409144461155
23_02_14 11:26:09.726;1211;I;1220;808;2100;4;;c738a4bd;-0.08018641918897629
23_02_14 11:26:09.882;1215;I;1220;808;2100;4;;b2512f3c;0.010700630024075508
23_02_14 11:26:10.027;1219;I;1220;808;2100;4;;dd55db3b;0.006693585310131311
23_02_14 11:26:10.113;1223;I;1220;808;2100;4;;bc142d3b;0.0026410063728690147
23_02_14 11:26:10.235;1227;I;1220;808;2100;4;;8ebf6b3b;0.0035972329787909985
23_02_14 11:26:10.365;1230;I;1220;808;2100;4;;3e31473c;0.012157736346125603
23_02_14 11:26:10.533;1234;I;1220;808;2100;4;;3035153c;0.009106919169425964
23_02_14 11:26:10.642;1238;I;1220;808;2100;4;;a3c9cc3d;0.09999396651983261
23_02_14 11:26:10.783;1242;I;1220;808;2100;4;;7a542a3e;0.16633787751197815
23_02_14 11:26:10.885;1246;I;1220;808;2100;4;;0c5d793d;0.06087975203990936
23_02_14 11:26:11.013;1250;I;1220;808;2100;4;;6a7b4b3d;0.049678243696689606
23_02_14 11:26:11.142;1254;I;1220;808;2100;4;;63375a3d;0.05327547714114189
23_02_14 11:26:11.264;1258;I;1220;808;2100;4;;b9cbe2bd;-0.11074013262987137
23_02_14 11:26:11.393;1262;I;1220;808;2100;4;;dd93e8bd;-0.11356327682733536
23_02_14 11:26:11.523;1266;I;1220;808;2100;4;;91a73cbe;-0.18423296511173248
23_02_14 11:26:11.664;1270;I;1220;808;2100;4;;e820a4bc;-0.02003522217273712
23_02_14 11:26:11.792;1274;I;1220;808;2100;4;;80bbee3a;0.0018213838338851929
23_02_14 11:26:11.911;1278;I;1220;808;2100;4;;49f4443c;0.012021132744848728
23_02_14 11:26:12.042;1282;I;1220;808;2100;4;;6a3d3e3c;0.011611321941018105
23_02_14 11:26:12.170;1286;I;1220;808;2100;4;;132d9b3c;0.018942391499876976
23_02_14 11:26:12.300;1290;I;1220;808;2100;4;;a23a433e;0.19065335392951965
23_02_14 11:26:12.430;1294;I;1220;808;2100;4;;71b7713c;0.014753208495676517
23_02_14 11:26:12.559;1298;I;1220;808;2100;4;;32a1323e;0.17444303631782532
23_02_14 11:26:12.689;1302;I;1220;808;2100;4;;37b713bc;-0.00901584979146719
23_02_14 11:26:12.820;1306;I;1220;808;2100;4;;50b4d0bd;-0.101906418800354
23_02_14 11:26:12.947;1310;I;1220;808;2100;4;;8ebfebbb;-0.007194465957581997
23_02_14 11:26:13.077;1314;I;1220;808;2100;4;;b592aebb;-0.005327547434717417
23_02_14 11:26:13.210;1318;I;1220;808;2100;4;;6490213e;0.15777736902236938
23_02_14 11:26:13.337;1322;I;1220;808;2100;4;;efa222bc;-0.009926541708409786
23_02_14 11:26:13.467;1326;I;1220;808;2100;4;;dd5d26bc;-0.010154214687645435
23_02_14 11:26:13.596;1330;I;1220;808;2100;4;;57000d3e;0.13769660890102386
23_02_14 11:26:13.725;1334;I;1220;808;2100;4;;e1dc32bd;-0.04366767778992653
23_02_14 11:26:13.854;1338;I;1220;808;2100;4;;c753c53c;0.024087799713015556
23_02_14 11:26:13.987;1342;I;1220;808;2100;4;;42d33f3e;0.18732932209968567
23_02_14 11:26:14.117;1346;I;1220;808;2100;4;;b5922e3c;0.010655094869434834
23_02_14 11:26:14.267;1350;I;1220;808;2100;4;;c4962b3c;0.010472957044839859
23_02_14 11:26:14.374;1354;I;1220;808;2100;4;;29b3163c;0.009197988547384739
23_02_14 11:26:14.502;1358;I;1220;808;2100;4;;fc8b65be;-0.22416681051254272
23_02_14 11:26:14.631;1362;I;1220;808;2100;4;;c4cc6dbd;-0.058056607842445374
23_02_14 11:26:14.786;1366;I;1220;808;2100;4;;7b8a85bc;-0.016301384195685387
23_02_14 11:26:14.891;1370;I;1220;808;2100;4;;f3dbd6bb;-0.006556981708854437
23_02_14 11:26:15.021;1374;I;1220;808;2100;4;;4272c6bd;-0.09689761698246002
23_02_14 11:26:15.149;1378;I;1220;808;2100;4;;9c6ababd;-0.09102365374565125
23_02_14 11:26:15.279;1382;I;1220;808;2100;4;;4d3d0fb9;-0.0001366037904517725
23_02_14 11:26:15.408;1386;I;1220;808;2100;4;;80bbeebb;-0.0072855353355407715
23_02_14 11:26:15.550;1390;I;1220;808;2100;4;;1ecd2cbe;-0.16875120997428894
23_02_14 11:26:15.665;1394;I;1220;808;2100;4;;62bbbfbc;-0.02340478077530861
23_02_14 11:26:15.795;1398;I;1220;808;2100;4;;130a2f3e;0.17093686759471893
23_02_14 11:26:15.924;1402;I;1220;808;2100;4;;694589bb;-0.004189182538539171
23_02_14 11:26:16.055;1406;I;1220;808;2100;4;;784986bb;-0.004098113626241684
23_02_14 11:26:16.202;1410;I;1220;808;2100;4;;63b3f4ba;-0.0018669184064492583
23_02_14 11:26:16.314;1414;I;1220;808;2100;4;;e4d759bb;-0.003324025310575962
23_02_14 11:26:16.464;1418;I;1220;808;2100;4;;50b4d0bd;-0.101906418800354
23_02_14 11:26:16.579;1422;I;1220;808;2100;4;;b51694bc;-0.01807723380625248
23_02_14 11:26:16.702;1426;I;1220;808;2100;4;;fda69fbc;-0.019488805904984474
23_02_14 11:26:16.838;1430;I;1220;808;2100;4;;58d5d5bd;-0.10441082715988159
23_02_14 11:26:16.963;1434;I;1220;808;2100;4;;e4d759bc;-0.013296101242303848
23_02_14 11:26:17.091;1438;I;1220;808;2100;4;;6d7e3dbc;-0.01156578678637743
