Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:49:52.633;46132;I;1210;808;2106;8;;b72e273aea9b5939;0.0006377505487762392;0.00020752815180458128
23_02_14 11:49:52.763;46132;I;1210;808;2106;8;;9752bb39e13191ba;0.0003572895366232842;-0.0011077487142756581
23_02_14 11:49:52.890;46132;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:53.018;46132;I;1210;808;2106;8;;e83715b978452bba;-0.00014230574015527964;-0.0006533483974635601
23_02_14 11:49:53.155;46132;I;1210;808;2106;8;;fcb215b9c23e2bba;-0.00014276424190029502;-0.0006532483967021108
23_02_14 11:49:53.271;46132;I;1210;808;2106;8;;2ebc92b9aefcabba;-0.0002798749483190477;-0.001312156906351447
23_02_14 11:49:53.398;46132;I;1210;808;2106;8;;700b12b9569b2cba;-0.00013927905820310116;-0.0006584426155313849
23_02_14 11:49:53.525;46132;I;1210;808;2106;8;;700b12b9569b2cba;-0.00013927905820310116;-0.0006584426155313849
23_02_14 11:49:53.652;46132;I;1210;808;2106;8;;1bc84c3a84c2603a;0.0007811800460331142;0.000857390696182847
23_02_14 11:49:53.781;46132;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:53.906;46132;I;1210;808;2106;8;;46f7023a933ceeb9;0.0004995953058823943;-0.00045440028770826757
23_02_14 11:49:54.033;46132;I;1210;808;2106;8;;e83715b978452bba;-0.00014230574015527964;-0.0006533483974635601
