Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;direction.x;direction.y;direction.z;invalidFlag;mcuTemperature
23_03_14 14:37:47.497;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:47.593;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:47.698;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:47.795;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:47.894;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:47.996;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:48.096;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.194;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.296;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.394;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:48.493;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.593;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.693;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:48.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:48.895;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:48.995;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.095;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.193;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.397;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.497;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.595;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.695;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.794;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:49.895;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:49.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.096;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:50.196;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.400;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:50.494;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:50.592;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.693;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.792;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.893;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:50.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:51.094;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
